Email,Active
GarciaSofia@Sinochem.org,0
CoxBradley@Uniper.org,1
LewisLandon@BP.org,1
ReedEduardo@Costco.org,1
JacksonCarlos@Walmart.org,1
OrtizAlejandro@McKesson.org,1
GomezGracie@SchwarzGruppe.org,1
BaileyAnthony@CardinalHealth.org,1
YoungJackson@Trafigura.org,1
CooperAiden@Sinochem.org,1
CruzBrayden@ChinaPetrochemicalCorporation.org,1
MartinezJesse@Amazon.org,1
PatelMarcus@BerkshireHathaway.org,1
TaylorAdrian@IndustrialandCommercialBankofChina.org,1
WoodKaleb@PingAnInsurance.org,1
GomezCody@Sinochem.org,1
CookBenjamin@Trafigura.org,1
NelsonRobert@VolkswagenGroup.org,1
AndersonKaden@TotalEnergies.org,1
WardDamian@MarathonPetroleum.org,1
TaylorAidan@TotalEnergies.org,1
AllenAlejandro@ChinaRailwayConstructionCorporation.org,1
MorganValerie@McKesson.org,1
HowardAshley@CardinalHealth.org,1
PatelMaria@BP.org,0
TorresMarco@Costco.org,1
KingIvan@ChinaRailwayConstructionCorporation.org,1
GutierrezBradley@MarathonPetroleum.org,0
CruzOwen@Costco.org,1
GarciaDylan@Toyota.org,1
ThompsonKiara@Microsoft.org,1
CastilloSebastian@VolkswagenGroup.org,1
MooreTyler@Sinochem.org,1
MitchellClaire@McKesson.org,1
PhillipsSophie@ChinaNationalPetroleumCorporation.org,0
NelsonMaya@Sinochem.org,1
ScottJohnathan@ChinaNationalPetroleumCorporation.org,1
HarrisSierra@Toyota.org,0
NguyenJennifer@Foxconn.org,1
MorrisMaria@Apple.org,1
MoralesLindsey@ChinaPetrochemicalCorporation.org,1
JimenezTristan@PingAnInsurance.org,1
MoralesMia@MarathonPetroleum.org,1
FosterAlan@SchwarzGruppe.org,1
ReyesAmanda@FordMotorCompany.org,1
PatelDaniela@AgriculturalBankofChina.org,1
WatsonKylie@Mercedes-BenzGroup.org,1
WalkerXavier@Apple.org,1
MoralesJosiah@Phillips66.org,1
RobinsonSamantha@Alphabet.org,1
RamirezKyle@ChinaNationalPetroleumCorporation.org,1
BrooksOliver@CardinalHealth.org,0
FosterSara@Vitol.org,0
KingZoe@Apple.org,1
SandersJackson@Amazon.org,0
MoralesNicolas@Microsoft.org,1
MartinezHector@Amazon.org,1
MartinJacob@ChinaStateConstructionEngineering.org,0
GrayWyatt@Foxconn.org,1
TorresEmmanuel@ChinaRailwayEngineeringCorporation.org,1
RogersDiego@MitsubishiGroup.org,0
BrooksSophia@Gazprom.org,1
JacksonJared@ChinaNationalOffshoreOilCorporation.org,0
ScottCaitlin@Mercedes-BenzGroup.org,1
AdamsMartin@Chevron.org,1
PriceValerie@MitsubishiGroup.org,1
EvansJohnathan@ChinaNationalOffshoreOilCorporation.org,1
DavisKennedy@CardinalHealth.org,1
StewartMorgan@Sinochem.org,1
FosterIan@SchwarzGruppe.org,1
TorresColton@IndustrialandCommercialBankofChina.org,1
NelsonBrandon@Walmart.org,1
RossJennifer@ChinaPetrochemicalCorporation.org,1
MartinMadelyn@BP.org,1
BrooksGavin@BP.org,1
PetersonOscar@Toyota.org,1
DiazChloe@Amazon.org,1
MillerSamantha@ChinaConstructionBank.org,0
AllenCameron@Walmart.org,1
HernandezCarter@CVSHealth.org,1
YoungMalachi@ValeroEnergy.org,1
JohnsonGabriella@Baowu.org,1
HillMary@TotalEnergies.org,1
JamesDamian@ChinaStateConstructionEngineering.org,1
ScottMia@Amazon.org,1
KingAngela@Cigna.org,1
RobertsKimberly@Mercedes-BenzGroup.org,1
KingPreston@ChinaConstructionBank.org,1
PriceKatherine@Walmart.org,1
ReyesTimothy@Cargill.org,1
CastilloGabriella@Sinochem.org,1
KingSofia@Phillips66.org,1
WatsonVincent@FordMotorCompany.org,1
SanchezThomas@Cargill.org,1
ParkerNolan@ChinaPetrochemicalCorporation.org,1
TaylorBenjamin@Mercedes-BenzGroup.org,0
JacksonPeter@Vitol.org,1
PatelJasmin@Toyota.org,0
LopezStephanie@ExxonMobil.org,1
ParkerMichelle@ChinaRailwayEngineeringCorporation.org,0
RossDerek@AmerisourceBergen.org,1
RobinsonJorge@AgriculturalBankofChina.org,1
MoralesGavin@ChinaNationalOffshoreOilCorporation.org,1
MorganSamuel@PingAnInsurance.org,1
StewartBlake@ChinaNationalPetroleumCorporation.org,1
HillSteven@Microsoft.org,1
MendozaDevin@MitsubishiGroup.org,1
CampbellCharles@BerkshireHathaway.org,0
ReedTaylor@Trafigura.org,1
CookMichael@Toyota.org,1
StewartLeah@MitsubishiGroup.org,1
RuizKelsey@Walmart.org,1
HarrisSeth@Phillips66.org,1
DavisRylee@ChinaRailwayEngineeringCorporation.org,1
DavisCaleb@Shell.org,1
ParkerCarter@FordMotorCompany.org,1
MitchellEduardo@Costco.org,1
JohnsonJonah@McKesson.org,1
HernandezValerie@ChinaRailwayConstructionCorporation.org,1
RamirezHaley@McKesson.org,1
HillSophia@Vitol.org,1
CampbellCharlotte@VolkswagenGroup.org,1
GomezCassandra@Sinochem.org,1
MillerLaura@McKesson.org,1
RamosAlex@Trafigura.org,1
RossPatrick@Gazprom.org,1
HernandezNolan@UnitedHealthGroup.org,1
RobertsBrittany@Shell.org,1
MurphyDonovan@ChinaStateConstructionEngineering.org,1
ThomasGiselle@ChinaRailwayEngineeringCorporation.org,1
MartinezCristian@ValeroEnergy.org,1
RobinsonDevin@McKesson.org,1
LopezAmanda@Glencore.org,1
CollinsCaleb@CVSHealth.org,1
GonzalesJesus@BP.org,1
PhillipsConner@Microsoft.org,1
AndersonGabriel@BerkshireHathaway.org,1
EvansAllison@VolkswagenGroup.org,1
MartinezSummer@Trafigura.org,1
HughesDelaney@Vitol.org,1
CampbellThomas@Sinochem.org,1
ReedShelby@FordMotorCompany.org,1
RogersCaroline@ChinaStateConstructionEngineering.org,1
DiazAudrey@Cigna.org,1
MooreNatalie@Amazon.org,1
StewartKatherine@BerkshireHathaway.org,1
CampbellCesar@BP.org,1
KingPeter@PingAnInsurance.org,1
LewisDerek@ChinaNationalOffshoreOilCorporation.org,1
GonzalesBlake@Stellantis.org,1
CoxCaitlyn@ExxonMobil.org,1
HughesOmar@SchwarzGruppe.org,1
NguyenRichard@Amazon.org,1
MartinAnthony@MitsubishiGroup.org,1
ClarkSofia@Gazprom.org,1
MoralesMark@SaudiAramco.org,1
PriceCooper@Glencore.org,1
PriceDevin@CardinalHealth.org,1
TaylorShawn@Apple.org,1
AlvarezMadison@IndustrialandCommercialBankofChina.org,0
CookCollin@Shell.org,1
LewisLeonardo@Trafigura.org,1
SandersJulia@Costco.org,1
MooreRyan@ChinaRailwayEngineeringCorporation.org,1
CoxAustin@SchwarzGruppe.org,1
CollinsSarah@VolkswagenGroup.org,1
MoorePeter@McKesson.org,1
WardJenna@Vitol.org,1
ClarkCharles@ChinaConstructionBank.org,1
KingMartin@Sinochem.org,1
AndersonMelissa@ChinaRailwayEngineeringCorporation.org,1
WilsonVincent@Uniper.org,1
PriceEvan@McKesson.org,1
DavisEthan@CardinalHealth.org,0
KingGabrielle@Costco.org,1
OrtizAshley@Apple.org,1
PriceAdrian@ChinaRailwayConstructionCorporation.org,1
CruzCarson@Uniper.org,1
JohnsonDavid@Glencore.org,1
StewartGiselle@SamsungElectronics.org,1
WilsonLiam@ChinaRailwayEngineeringCorporation.org,1
PriceLindsey@Stellantis.org,1
StewartJosiah@AmerisourceBergen.org,0
CooperKarina@ChinaRailwayEngineeringCorporation.org,0
FosterNicholas@Trafigura.org,0
ClarkJavier@Gazprom.org,1
SanchezGiovanni@Shell.org,1
PhillipsJosiah@Alphabet.org,1
RichardsonRiley@Trafigura.org,1
AdamsIan@ChinaNationalPetroleumCorporation.org,0
BrownTrenton@AgriculturalBankofChina.org,1
LopezJared@Phillips66.org,1
ReedJonathan@SamsungElectronics.org,1
JimenezColton@ChinaNationalOffshoreOilCorporation.org,1
AndersonMalachi@Cigna.org,1
RobertsCaroline@CardinalHealth.org,1
RuizSummer@PingAnInsurance.org,0
LongJazmin@Toyota.org,0
JamesCaden@ChinaNationalPetroleumCorporation.org,1
MyersEvan@Phillips66.org,1
BrownMya@Microsoft.org,1
RuizNicole@ChinaPetrochemicalCorporation.org,1
MoralesAlana@Shell.org,1
HillSteven@ChinaPetrochemicalCorporation.org,1
PetersonSara@Foxconn.org,1
RichardsonAddison@Cargill.org,1
LeeRaymond@Phillips66.org,1
NguyenErik@ChinaRailwayEngineeringCorporation.org,0
MartinAlex@ValeroEnergy.org,1
RamosKevin@Cigna.org,1
WalkerAdam@Trafigura.org,1
WilliamsCaden@BP.org,1
ChavezAngelica@PingAnInsurance.org,1
BakerKenneth@StateGridCorporationofChina.org,1
JimenezCourtney@VolkswagenGroup.org,1
WardCooper@Glencore.org,0
WhiteLiliana@ExxonMobil.org,1
CruzBraden@IndustrialandCommercialBankofChina.org,1
TurnerMatthew@SchwarzGruppe.org,1
KimElias@SamsungElectronics.org,1
RogersErica@Shell.org,1
SmithJeremiah@ChinaRailwayConstructionCorporation.org,1
KingGrant@MarathonPetroleum.org,0
JonesAlejandro@MitsubishiGroup.org,1
AlvarezNatalia@ChinaStateConstructionEngineering.org,1
JimenezCameron@Apple.org,1
HughesCamila@AgriculturalBankofChina.org,1
MitchellChase@Apple.org,1
GarciaJesus@Baowu.org,0
AdamsPayton@ChinaNationalOffshoreOilCorporation.org,1
ReedJake@Stellantis.org,0
CampbellJada@Sinochem.org,1
PetersonAshton@BerkshireHathaway.org,0
AllenRyan@AmerisourceBergen.org,1
ThomasAngel@Cigna.org,1
GrayAlexandra@Foxconn.org,1
NelsonMary@Vitol.org,1
GomezMario@Shell.org,1
KellyAmber@Baowu.org,1
GutierrezKiara@SamsungElectronics.org,1
GarciaAmelia@FordMotorCompany.org,1
RodriguezJeffrey@Sinochem.org,1
BakerDakota@ExxonMobil.org,1
GarciaCaroline@AgriculturalBankofChina.org,1
RiveraAyden@ChinaRailwayConstructionCorporation.org,0
HowardDaisy@IndustrialandCommercialBankofChina.org,1
ReyesCarter@Glencore.org,1
WilsonMatthew@Amazon.org,1
ThomasPeyton@McKesson.org,1
WilsonJavier@ChinaNationalOffshoreOilCorporation.org,1
ClarkCarter@Mercedes-BenzGroup.org,1
MurphyParker@Glencore.org,1
LeeKarina@ExxonMobil.org,1
WardCourtney@ChinaConstructionBank.org,1
ReedLeah@Sinochem.org,1
KellyShawn@BP.org,1
RodriguezKelly@ChinaRailwayEngineeringCorporation.org,1
FloresLeslie@VolkswagenGroup.org,1
MartinezDaniela@Mercedes-BenzGroup.org,1
RogersCatherine@Cigna.org,1
GrayAlana@ChinaConstructionBank.org,1
KimBrittany@MarathonPetroleum.org,1
MurphyJayla@BerkshireHathaway.org,1
NelsonHunter@BP.org,1
PhillipsAnthony@FordMotorCompany.org,0
EvansHope@Mercedes-BenzGroup.org,1
LopezLeah@BerkshireHathaway.org,1
ReedElias@Chevron.org,0
KimMarco@ChinaStateConstructionEngineering.org,1
MendozaChelsea@VolkswagenGroup.org,1
HughesJonathan@Sinochem.org,1
WrightAndrew@Microsoft.org,1
WalkerHenry@PingAnInsurance.org,1
CastilloNatalie@FordMotorCompany.org,0
AlvarezBriana@Chevron.org,1
JohnsonVictor@StateGridCorporationofChina.org,1
BrownBrandon@ChinaStateConstructionEngineering.org,1
SmithColton@IndustrialandCommercialBankofChina.org,1
RichardsonLilly@PingAnInsurance.org,1
WatsonChristian@ValeroEnergy.org,1
CollinsMelissa@Vitol.org,1
MooreBradley@Trafigura.org,1
GutierrezJada@ChinaPetrochemicalCorporation.org,1
GarciaTristan@ChinaNationalOffshoreOilCorporation.org,1
WrightNolan@Phillips66.org,1
MooreMelissa@ChinaNationalPetroleumCorporation.org,1
RobinsonTravis@AgriculturalBankofChina.org,1
JonesColby@ChinaStateConstructionEngineering.org,1
BrooksOwen@ChinaNationalPetroleumCorporation.org,1
LewisMegan@ValeroEnergy.org,1
TurnerLucas@ChinaNationalOffshoreOilCorporation.org,1
WrightCody@SchwarzGruppe.org,0
CooperRebecca@Foxconn.org,1
RamirezTrenton@ChinaPetrochemicalCorporation.org,1
HillSummer@ChinaNationalOffshoreOilCorporation.org,1
MorganHayden@MitsubishiGroup.org,1
PerezKaren@Trafigura.org,0
AdamsLily@UnitedHealthGroup.org,0
RiveraAbigail@SchwarzGruppe.org,1
GrayMegan@SchwarzGruppe.org,1
EvansPeter@FordMotorCompany.org,1
YoungBrandon@Trafigura.org,1
